Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
304,Austin Hooper,LVR,TE,29,0,0,0,0,0,0,0,,0,18,15,149,9.93,0,0,0,0,29.9,54,,HoopAu00
305,Elijah Mitchell,SFO,RB,25,0,0,0,0,0,44,149,3.39,0,6,4,-1,-0.25,0,0,0,0,18.8,81,,MitcEl00
306,Colby Parkinson,SEA,TE,24,0,0,0,0,0,0,0,,0,20,14,150,10.71,0,0,0,0,29,53,,ParkCo02
307,Kyle Philips,TEN,WR,24,0,0,0,0,0,0,0,,0,19,13,166,12.77,0,1,1,0,27.6,125,,PhilKy01
308,Josh Whyle,TEN,TE,24,0,0,0,0,0,0,0,,0,15,9,94,10.44,1,0,0,1,24.4,52,,WhylJo01
309,Brock Wright,DET,TE,25,0,0,0,0,0,0,0,,0,12,11,85,7.73,1,0,0,1,25.5,56,,WrigBr01
310,Treylon Burks,TEN,WR,23,0,0,0,0,0,2,14,7,0,18,8,122,15.25,0,0,0,0,21.6,127,,BurkTr00
311,Ty Johnson,BUF,RB,26,0,0,0,0,0,10,32,3.2,0,3,3,47,15.67,1,0,0,1,16.9,82,,JohnTy02
312,Ray-Ray McCloud,SFO,WR,27,0,0,0,0,0,2,23,11.5,0,11,9,113,12.56,0,1,0,0,22.6,128,,McClRa00
313,John Metchie,HOU,WR,23,0,0,0,0,0,0,0,,0,16,12,138,11.5,0,0,0,0,25.8,126,,MetcJo00
314,A.T. Perry,NOR,WR,24,0,0,0,0,0,0,0,,0,9,4,75,18.75,1,0,0,1,17.5,130,,PerrAT00
315,Byron Pringle,WAS,WR,30,0,0,0,0,0,0,0,,0,18,13,156,12,0,1,1,0,26.6,129,,PrinBy00
316,Chris Rodriguez,WAS,RB,23,0,0,0,0,0,31,154,4.97,0,1,1,5,5,0,1,1,0,14.9,83,,RodrCh00
317,Stone Smartt,LAC,TE,25,0,0,0,0,0,0,0,,0,12,3,80,26.67,1,0,0,1,17,57,,SmarSt00
